scenario,date,month,total_cost,planned_cost,up_cost,emergency_cost,purchase_kwh,emergency_kwh,charge_kwh,discharge_kwh,initial_soc,final_soc,load_kwh
4-2,2025-06-21,6,18348.8968271597,18348.8968271597,0.0000000000,0.0000000000,34637.5302788278,0.0000000000,14559.7592843866,13160.4609037277,7818.4425669121,7758.6991858530,81408.0648000000
4-2,2025-06-22,6,50665.9291480272,50105.2369935418,0.0000000000,560.6921544854,69955.3044558929,152.4820250499,13232.3102051770,14392.4037387855,7758.6991858530,5141.0452656995,126539.4619166667
4-2,2025-06-23,6,51711.0558563726,51694.2294350276,0.0000000000,16.8264213450,73597.1531951932,6.5850066797,16657.0884502593,15022.7896054293,5141.0452656995,5107.9362183911,126690.8730833333
4-2,2025-06-24,6,68100.4260236512,53069.3871499461,0.0000000000,15031.0388737051,72592.5150744509,2510.5371059075,14557.8067211309,15900.6164649330,5107.9362183911,2157.9629009878,127112.8450166667
4-2,2025-06-25,6,54511.1726022919,54511.1726022919,0.0000000000,0.0000000000,77384.7557726258,0.0000000000,18790.8309112651,14799.5958902979,2157.9629009878,4384.3665218600,126310.4084333333
4-2,2025-06-26,6,53003.1251726360,53003.1251726360,0.0000000000,0.0000000000,75448.1417778187,0.0000000000,17774.1803471331,16090.1176342814,4384.3665218600,4285.9613722664,126697.4453666667
4-2,2025-06-27,6,19859.1516430212,19859.1516430212,0.0000000000,0.0000000000,40191.3891306506,0.0000000000,12707.4694866762,8722.5885290186,4285.9613722664,7146.9098200438,79563.2550000000
4-2,2025-06-28,6,16475.7283031700,16475.7283031700,0.0000000000,0.0000000000,31698.7576395388,0.0000000000,13533.9926572653,13727.9853289772,7146.9098200438,5515.8155016150,80661.5728000000
4-2,2025-06-29,6,53160.5400454374,53035.9906856790,0.0000000000,124.5493597584,75600.6808500424,27.6010066946,19994.5334901524,18510.2665115931,5515.8155016150,4972.7613849096,126384.8087166667
4-2,2025-06-30,6,51957.5273193852,51067.6775030590,0.0000000000,889.8498163262,72993.3690239229,199.1819801905,16962.8279638896,15969.1803178249,4972.7613849096,4232.1189052031,125947.3205833333
4-2,2025-07-01,7,77565.6396121848,55254.9339168295,0.0000000000,22310.7056953553,73813.0117118377,4480.9711226803,15217.6965843135,16565.8587796682,4232.1189052031,1206.9451093920,141546.8510666667
4-2,2025-07-02,7,68337.2530575498,67784.1037674622,0.0000000000,553.1492900876,90338.2614672101,195.6158691999,15192.4777932540,11830.7095654123,1206.9451093920,3149.1321936409,141198.6582166667
4-2,2025-07-03,7,65919.1079706524,64849.8731137988,0.0000000000,1069.2348568536,84158.7298100155,268.9253778132,18073.3871494663,16527.2248309281,3149.1321936409,2873.8280990656,141565.5386333333
4-2,2025-07-04,7,25551.1767029868,25548.4221072245,0.0000000000,2.7545957624,42080.7592667436,0.8434157264,11483.2879889965,10839.5838301157,2873.8280990656,2341.9070237649,95795.0657500000
4-2,2025-07-05,7,34664.3107695641,20634.4767032084,0.0000000000,14029.8340663557,36622.1627834851,3216.4592466702,11387.9278491073,11332.4431855689,2341.9070237649,1200.0000000000,95872.8349000000
4-2,2025-07-06,7,73311.0160515346,62070.4810570974,0.0000000000,11240.5349944372,80963.0086154248,1667.2062861327,20370.0046775663,17849.8625602720,1200.0000000000,1709.2760150100,141244.5746500000
4-2,2025-07-07,7,67234.7829991767,66824.2247760908,0.0000000000,410.5582230858,87381.7997283487,152.4308714223,18527.0466647049,14624.1337622376,1709.2760150100,3870.3852494720,141495.3941500000
4-2,2025-07-08,7,66915.4698318344,65413.3878517333,0.0000000000,1502.0819801011,85592.8940781971,290.9045417786,20414.1051196133,17338.5928366960,3870.3852494720,4960.4242256835,141285.2270000000
4-2,2025-07-09,7,64027.0938651606,64027.0938651606,0.0000000000,0.0000000000,83878.1266571218,0.0000000000,19039.5458378063,16557.3643033267,4960.4242256835,5569.9289485844,140590.7049666667
4-2,2025-07-10,7,60765.1823235772,60362.1205080606,0.0000000000,403.0618155166,79038.2536986101,85.1589181673,18707.2738928114,18567.5636140944,5569.9289485844,3745.2767025490,140463.5422500000
4-2,2025-07-11,7,29235.1386868309,29235.1386868309,0.0000000000,0.0000000000,47728.0468765289,0.0000000000,12464.9980810609,10170.9781498970,3745.2767025490,4849.4598637898,94741.0884000000
4-2,2025-07-12,7,24410.5682687279,24410.5682687279,0.0000000000,0.0000000000,40741.6965312440,0.0000000000,13346.2850232412,13576.9865957565,4849.4598637898,3199.4570883050,95318.3711000000
4-2,2025-07-13,7,58049.7163860944,57756.2967385048,0.0000000000,293.4196475896,79131.3471352007,53.5545483062,18669.8263927928,17011.3218440561,3199.4570883050,2979.7018855193,139893.3664833333
4-2,2025-07-14,7,60672.9255491929,60569.7951272476,0.0000000000,103.1304219453,80984.1556949729,15.5153335257,16599.4255268553,14023.9138623489,2979.7018855193,3944.7964684031,141062.4234666667
4-2,2025-07-15,7,58374.0327878908,57947.7885500851,0.0000000000,426.2442378057,76255.2842082517,81.0196561904,15790.3497353001,14818.5596070973,3944.7964684031,3304.7041988595,139545.1626666667
4-2,2025-07-16,7,59572.8274695171,58991.4520730657,0.0000000000,581.3753964514,77095.1671829459,119.8219900349,16126.6611746911,14677.8001934040,3304.7041988595,3132.0384246030,140365.2653833333
4-2,2025-07-17,7,60969.2680928161,58942.7778338762,0.0000000000,2026.4902589399,77408.6617217884,389.0742784925,17411.2824474800,16249.7589992193,3132.0384246030,2521.0813247170,139569.1592833333
4-2,2025-07-18,7,27967.2021750571,27967.2021750571,0.0000000000,0.0000000000,47778.6971483400,0.0000000000,13073.2146577000,9884.4940205550,2521.0813247170,4504.2501812165,93698.0732000000
4-2,2025-07-19,7,24028.4980451853,23976.7660391938,0.0000000000,51.7320059915,40834.3587082640,25.5059765740,14124.3810876180,14025.9163957430,4504.2501812165,3119.2005871244,94564.5224000000
4-2,2025-07-20,7,56403.4837954078,56200.9306891947,0.0000000000,202.5531062131,75682.2928038759,41.8244879625,18833.3128211400,16566.9360833695,3119.2005871244,3522.9659495415,138750.5387666667
4-2,2025-07-21,7,60808.4326478643,60722.6779909025,0.0000000000,85.7546569619,79857.1733553857,18.9220337515,19279.2099030483,17301.9492515642,3522.9659495415,3574.9745189773,138442.8198000000
4-2,2025-07-22,7,60132.5262185126,57955.8051495481,0.0000000000,2176.7210689645,77667.3547552107,415.0220579808,18660.2706647653,17849.1023244087,3574.9745189773,2463.0557908963,139514.8588166667
4-2,2025-07-23,7,58503.6131802071,58237.4529840699,0.0000000000,266.1601961372,78988.0381915220,51.9709131800,21325.3585079665,18511.0313471120,2463.0557908963,3181.7269337939,139450.0336500000
4-2,2025-07-24,7,59509.2014922361,57999.8818566939,0.0000000000,1509.3196355421,76788.5932138406,285.6870735497,17492.9876749999,16207.0515104155,3181.7269337939,2693.2998645415,138902.2175166667
4-2,2025-07-25,7,26756.6723060444,26719.7938004557,0.0000000000,36.8785055887,46270.7743352056,7.4607537100,13507.4291520895,10368.3561985882,2693.2998645415,4578.3652409081,92354.8396833333
4-2,2025-07-26,7,24422.8240863367,24422.8240863367,0.0000000000,0.0000000000,41132.8062924886,0.0000000000,13460.1440802395,12446.1250418423,4578.3652409081,4228.4113940248,93187.6899333333
4-2,2025-07-27,7,64497.5890737156,54215.4723197804,0.0000000000,10282.1167539352,72561.7216791582,1290.5588013143,20054.2959564161,20430.4640397191,4228.4113940248,1717.9870154796,138110.1962833333
4-2,2025-07-28,7,62886.2610147320,60922.4599760807,0.0000000000,1963.8010386513,81866.1165546180,267.2237304132,19933.3951135084,17700.4793882376,1717.9870154796,1970.5225185419,138228.9984333333
4-2,2025-07-29,7,60564.3892404880,59998.0443369720,0.0000000000,566.3449035160,80911.6126238335,101.3310557065,20433.4045277906,17326.1940928888,1970.5225185419,3091.9399444721,138314.7451166667
4-2,2025-07-30,7,58731.8621184607,58726.5237130541,0.0000000000,5.3384054066,78001.2641397011,1.9380669474,18735.5588595046,17390.8231031941,3091.9399444721,2534.5145837362,138424.3644333333
4-2,2025-07-31,7,58557.1383332699,58523.5686107203,0.0000000000,33.5697225497,78934.5454283155,9.2774145310,19118.2314076761,17260.4206759901,2534.5145837362,2477.5805055327,137423.3137166667
4-2,2025-08-01,8,23502.8232924129,23502.8232924129,0.0000000000,0.0000000000,41670.5127903123,0.0000000000,10591.9208462602,10544.5798210378,2477.5805055327,1410.9958386761,92719.4241000000
4-2,2025-08-02,8,22889.6491559482,22889.6491559482,0.0000000000,0.0000000000,41478.7213608889,0.0000000000,14568.3664628348,12028.5896510883,1410.9958386761,2552.5150028570,91562.2442166667
4-2,2025-08-03,8,56367.3502716142,51690.3517618519,0.0000000000,4676.9985097623,71103.3604131865,978.7659414912,17561.7739346821,17088.7049347871,2552.5150028570,1200.0000000000,138062.4861500000
4-2,2025-08-04,8,54950.7882835506,54950.7882835506,0.0000000000,0.0000000000,74280.2045561433,0.0000000000,18780.1070734883,15590.9298201715,1200.0000000000,2582.0908923582,138312.1069500000
4-2,2025-08-05,8,51469.1745778690,50299.3877516417,0.0000000000,1169.7868262273,68085.2712093106,266.0468823681,19612.6508953149,18603.7403135475,2582.0908923582,1578.2210975372,136458.4972833333
4-2,2025-08-06,8,59224.3036021309,51763.3071648525,0.0000000000,7460.9964372784,69367.5720275682,1515.5046146444,17486.0070761602,15375.9519436214,1578.2210975372,1959.2275152381,136716.0878000000
4-2,2025-08-07,8,51627.2054551699,51127.3370760913,0.0000000000,499.8683790786,68891.7611076903,148.9547384437,18196.6713864120,16320.7988751813,1959.2275152381,2018.4731799452,136850.7544666667
4-2,2025-08-08,8,23094.4016053724,23026.8496349998,0.0000000000,67.5519703726,41531.8859504432,17.7069384987,12495.8151131907,10570.6922855105,2018.4731799452,2730.5562510284,90703.2161166667
4-2,2025-08-09,8,22128.7996906591,20208.3962098815,0.0000000000,1920.4034807777,36272.9546601325,678.8063126071,14498.9967092272,14319.3795217145,2730.5562510284,1391.5609445648,90303.8317500000
4-2,2025-08-10,8,51766.5400162678,51689.6154688080,0.0000000000,76.9245474598,68647.8378163030,22.1823608778,18834.7378083583,16333.7173042903,1391.5609445648,2042.5123468939,136535.4447166667
4-2,2025-08-11,8,51428.3935046516,50368.4634464797,0.0000000000,1059.9300581718,69076.2133978748,220.2651924234,19475.8225023057,17715.0880354196,2042.5123468939,1845.5574898532,136422.2635166667
4-2,2025-08-12,8,54659.7929079677,52628.7516075322,0.0000000000,2031.0413004355,70623.8592944553,347.5728001452,18103.5874991646,16185.1563210162,1845.5574898532,1959.4758316792,136637.5967000000
4-2,2025-08-13,8,51530.0570276612,51530.0570276612,0.0000000000,0.0000000000,69351.9390790836,0.0000000000,17731.9096831786,16385.6237677185,1959.4758316792,1509.4783944576,136547.9971833333
4-2,2025-08-14,8,52195.4007681833,51265.2984794074,0.0000000000,930.1022887759,69856.5457761127,191.8881589735,19344.7439166945,17703.8665089544,1509.4783944576,1200.0000000000,135936.0553666667
4-2,2025-08-15,8,22107.1014627313,21654.4011519290,0.0000000000,452.7003108023,40174.8561168162,105.5030361676,14743.3062499244,12566.2482230605,1200.0000000000,1940.7397213754,89968.0577666667
4-2,2025-08-16,8,21909.5655525887,21522.8298467665,0.0000000000,386.7357058221,38635.2464112160,84.1713204746,14563.2572414384,13162.4506819341,1940.7397213754,1882.2173833585,90183.5303500000
4-2,2025-08-17,8,50715.7305112225,50576.2832764021,0.0000000000,139.4472348204,67954.0943883884,16.5761943323,18060.8728056005,16738.2954265932,1882.2173833585,1372.5531966417,135369.1165000000
4-2,2025-08-18,8,53399.3646489756,53149.3698233370,0.0000000000,249.9948256386,71319.3181047313,62.6724074933,19511.1883440215,15925.3796928260,1372.5531966417,3095.6675596251,135710.1747166667
4-2,2025-08-19,8,51043.2365306802,50977.7954854567,0.0000000000,65.4410452235,67743.8652169510,24.5245629870,15437.3212834601,15208.3808029109,3095.6675596251,1709.7554744238,135364.4828833333
4-2,2025-08-20,8,79696.9169392703,52044.1397714035,0.0000000000,27652.7771678668,69109.4625477813,3671.5803175589,16564.5952409143,14993.1041809321,1709.7554744238,1620.1908491333,135048.0536666666
4-2,2025-08-21,8,52108.9332309290,51984.3469349921,0.0000000000,124.5862959369,70658.1531646943,49.1462503078,17650.9823384585,15294.5302799042,1620.1908491333,2243.5325121768,134971.7989000000
4-2,2025-08-22,8,24105.6150900798,23149.0655180456,0.0000000000,956.5495720342,41458.3984003596,173.2779367738,12843.7146569331,11378.6099094235,2243.5325121768,2434.0421186890,90531.7304000000
4-2,2025-08-23,8,21245.8490843913,20804.8308553245,0.0000000000,441.0182290668,37669.1831521258,192.1543240677,12302.9829299476,12243.3997840440,2434.0421186890,1200.0000000000,89697.1462333333
4-2,2025-08-24,8,53010.7312778131,52968.5868113667,0.0000000000,42.1444664464,72449.2832164661,6.3379902920,20099.7672845094,17610.2430685305,1200.0000000000,1705.4874355998,135068.0714000000
4-2,2025-08-25,8,55195.5578698483,55143.9629709846,0.0000000000,51.5948988637,74588.3673082911,11.0493412279,19782.2337538291,17090.1707280554,1705.4874355998,2457.9404953909,134511.6137500000
4-2,2025-08-26,8,53157.5800107849,53157.5800107849,0.0000000000,0.0000000000,72138.2192215206,0.0000000000,18706.3089061872,16419.2011126704,2457.9404953909,2896.9456973944,134368.9639333333
4-2,2025-08-27,8,52701.1998562334,52009.1465590532,0.0000000000,692.0532971803,70781.2475775511,136.9995784732,19548.7991971062,18812.0448105639,2896.9456973944,1612.9286437882,133788.3821000000
4-2,2025-08-28,8,55905.5938964384,54745.1206283128,0.0000000000,1160.4732681256,74696.4576472586,205.2601431711,20112.6855215939,17189.8241720328,1612.9286437882,2573.8318232528,134543.8165666667
4-2,2025-08-29,8,21664.6815219502,21325.2796457448,0.0000000000,339.4018762053,38695.6752633076,110.4804124673,14094.3947428286,13691.0123631291,2573.8318232528,1513.3545315679,88328.3325500000
4-2,2025-08-30,8,23094.4353457779,23079.4887940939,0.0000000000,14.9465516840,41078.5905756475,3.1492944973,12414.4090357514,11117.0885710390,1513.3545315679,1572.2567608493,89025.0875833333
4-2,2025-08-31,8,53210.2641937852,53210.2641937852,0.0000000000,0.0000000000,73124.5880658361,0.0000000000,21081.8538937463,18276.1737001066,1572.2567608493,2307.4808400530,133365.3598333333
4-2,2025-09-01,9,46940.4993533786,46940.4993533786,0.0000000000,0.0000000000,70849.2595817939,0.0000000000,16253.3269323747,13358.0462373216,2307.4808400530,3646.1235719586,121263.6192666667
4-2,2025-09-02,9,40784.2274921590,40741.3936422845,0.0000000000,42.8338498745,62153.7315282781,9.2965490775,19592.9413625335,16509.3465940743,3646.1235719586,4831.2404961379,121532.8241500000
4-2,2025-09-03,9,41371.3378935576,41230.5428041198,0.0000000000,140.7950894379,61242.8019527752,31.6144806193,15688.2263665560,14828.9483270946,4831.2404961379,4083.3148199378,121433.7164333333
4-2,2025-09-04,9,40100.1845881359,40100.1845881359,0.0000000000,0.0000000000,61283.7511294072,0.0000000000,17288.6881952615,16163.0512763070,4083.3148199378,3447.4525655782,121061.1730333333
4-2,2025-09-05,9,17044.2096883486,17044.2096883486,0.0000000000,0.0000000000,38062.5702668945,0.0000000000,18371.6029030154,11836.9939160603,3447.4525655782,8398.9982566498,75132.9804500000
4-2,2025-09-06,9,14415.5364010253,14415.5364010253,0.0000000000,0.0000000000,30414.3438179625,0.0000000000,14651.1113384328,14598.8510872259,8398.9982566498,6909.7226622130,75826.3741666667
4-2,2025-09-07,9,39435.3197920508,34544.2919238895,0.0000000000,4891.0278681612,52850.5380682920,736.4528604240,14564.1753073468,16813.5506444063,6909.7226622130,3003.4739958674,120781.0090333333
4-2,2025-09-08,9,74813.1022644146,33243.3088339774,0.0000000000,41569.7934304372,51188.7412737797,7977.6221796626,13250.9471179011,13636.7780644588,3003.4739958674,1200.0000000000,121400.5924333333
4-2,2025-09-09,9,41635.7569879917,41196.7837939626,0.0000000000,438.9731940291,65354.4423282008,91.7881608284,19413.5303045663,15564.5432128847,1200.0000000000,3210.8228585293,121082.2355833333
4-2,2025-09-10,9,53027.1492685966,39987.5112469057,0.0000000000,13039.6380216909,60915.3529426574,2190.6815182646,17645.8097496461,16205.0934898182,3210.8228585293,2869.4394739981,121274.7884833334
4-2,2025-09-11,9,42433.3504835855,41695.3962959521,0.0000000000,737.9541876335,65885.0232983459,165.6198477220,20519.2863409795,15819.1184484084,2869.4394739981,5660.9287559483,120746.7783500000
4-2,2025-09-12,9,18969.7138175665,10753.1548637724,0.0000000000,8216.5589537941,23693.2890316232,2445.1340863928,11724.0649261304,14783.6670380787,5660.9287559483,1200.0000000000,75687.2271166667
4-2,2025-09-13,9,14554.1821002234,13933.1392603140,0.0000000000,621.0428399095,31370.7125530006,246.6459242659,14824.4982742428,13342.0484468185,1200.0000000000,1200.0000000000,75063.5831166667
4-2,2025-09-14,9,42091.7710680090,41787.5614520388,0.0000000000,304.2096159702,64057.6393312639,132.8287817489,18754.3566135819,16878.9209522237,1200.0000000000,1200.0000000000,121237.6956666667
4-2,2025-09-15,9,43259.3652219882,43259.3652219882,0.0000000000,0.0000000000,66709.2928065211,0.0000000000,19853.8808445764,15168.9138495230,1200.0000000000,4045.6060269462,120760.0298833334
4-2,2025-09-16,9,42327.0468895134,42131.6782365581,0.0000000000,195.3686529553,62998.0772846051,53.3371030596,15658.5140230158,15093.2383752152,4045.6060269462,2990.9065750247,121843.3574666667
4-2,2025-09-17,9,42709.7344588602,42647.5953211338,0.0000000000,62.1391377264,64915.9164383336,12.2889622716,17998.0035840849,16053.3391839841,2990.9065750247,3143.6066826265,120924.7950000000
4-2,2025-09-18,9,41265.7956412991,40962.2257385759,0.0000000000,303.5699027232,63284.5581933881,55.7213477833,18652.5197115174,16573.7625284838,3143.6066826265,3368.6609365810,120804.1163666667
4-2,2025-09-19,9,16883.5307565040,16077.1688613101,0.0000000000,806.3618951939,36911.1852317120,221.9634025061,20852.7409355652,13723.2614983500,3368.6609365810,8685.7202270989,75287.1264666667
4-2,2025-09-20,9,13377.7045510369,13339.8424780369,0.0000000000,37.8620730000,29410.2590187599,12.9842500000,14569.0482473623,15915.9403468348,8685.7202270989,5730.2587680742,75330.7276333333
4-2,2025-09-21,9,42573.0002173472,42566.8565518737,0.0000000000,6.1436654735,63767.3372895817,2.5481814490,14002.7709692897,15294.3400609224,5730.2587680742,2892.8037458415,120862.2829833333
4-2,2025-09-22,9,44954.5946501923,44856.2180030538,0.0000000000,98.3766471384,67394.1960058132,43.5210138735,17127.1342939688,15283.0973025707,2892.8037458415,3031.2309346316,121218.0417333333
4-2,2025-09-23,9,45407.0579294961,45379.4885556834,0.0000000000,27.5693738127,68578.6642393815,7.2790425908,18059.5692644368,16160.9587937215,3031.2309346316,3128.8963456934,121182.2813333333
4-2,2025-09-24,9,43518.9832002522,43409.0288773122,0.0000000000,109.9543229400,65796.6416262166,49.3015031038,18732.7060179821,16616.7916987285,3128.8963456934,3384.6652813899,121014.1934166667
4-2,2025-09-25,9,44701.4203755696,44701.4203755696,0.0000000000,0.0000000000,67616.6403786636,0.0000000000,17584.9061952316,15655.8692195836,3384.6652813899,3564.4369253887,120546.3471500000
4-2,2025-09-26,9,18614.9922456264,18614.9922456264,0.0000000000,0.0000000000,42056.8730777772,0.0000000000,20178.6483344573,11516.0891770252,3564.4369253887,10568.5597318520,74194.3537166667
4-2,2025-09-27,9,15743.0993202228,14367.4309387926,0.0000000000,1375.6683814302,31062.8558073665,293.0095450381,17492.2767743416,17780.1459201598,10568.5597318520,8421.2711399284,75945.7717500000
4-2,2025-09-28,9,44326.3600978622,44298.1839347899,0.0000000000,28.1761630723,64261.8054446579,12.1318247889,13674.2765316534,15835.1389204623,8421.2711399284,4702.1268804851,120389.6195833333
4-2,2025-09-29,9,46132.5083227950,46027.1802389450,0.0000000000,105.3280838500,68145.0924323146,20.3946333333,16469.0914798974,15368.7776192044,4702.1268804851,4125.9648584278,121111.4148000000
4-2,2025-09-30,9,47078.3512007962,46307.6479890720,0.0000000000,770.7032117243,69131.4939024926,162.8559967320,17423.6833378081,16302.8718291232,4125.9648584278,3470.7864375859,120916.4550666667
4-2,2025-10-01,10,43592.2341549673,43591.8117545402,0.0000000000,0.4224004270,68628.8586942490,0.2039596461,16719.9876679800,12641.1879219498,3470.7864375859,6007.7774272850,117218.4547166667
4-2,2025-10-02,10,41970.7182960037,41933.4350531586,0.0000000000,37.2832428451,66357.4105663489,19.5251337236,16049.5571123947,14000.9513513887,6007.7774272850,6475.4256410547,117231.7097833333
4-2,2025-10-03,10,14410.9197128795,14410.9197128795,0.0000000000,0.0000000000,36016.2412846187,0.0000000000,21330.0663014140,15094.4082057637,6475.4256410547,10800.0000000000,71524.1911333333
4-2,2025-10-04,10,13582.5007134260,13582.5007134260,0.0000000000,0.0000000000,30090.6688232516,0.0000000000,15924.4521950766,15854.5053622943,10800.0000000000,9195.1457880053,72397.4148333333
4-2,2025-10-05,10,38824.9003267044,38824.9003267044,0.0000000000,0.0000000000,59600.0711072667,0.0000000000,12658.2108240066,14963.2694477261,9195.1457880053,5431.1080807345,117604.4209000000
4-2,2025-10-06,10,40844.5529543559,40844.5529543559,0.0000000000,0.0000000000,62687.6135489927,0.0000000000,16971.3663317643,15959.2163998947,5431.1080807345,4709.0686997162,117896.1361333333
4-2,2025-10-07,10,41103.6585597729,41103.6585597729,0.0000000000,0.0000000000,63443.2718470462,0.0000000000,18386.5254217729,15602.1719133074,4709.0686997162,5705.9250460137,117357.1786333333
4-2,2025-10-08,10,38536.0235507768,38536.0235507768,0.0000000000,0.0000000000,61813.6466408620,0.0000000000,19417.9252122002,17414.0897679469,5705.9250460137,5771.3240291736,117391.0623500000
4-2,2025-10-09,10,37409.8327526981,37409.8327526981,0.0000000000,0.0000000000,57621.8348076926,0.0000000000,14454.9351520089,17153.8709594361,5771.3240291736,1402.7119421424,117432.9897333334
4-2,2025-10-10,10,15670.0679819024,15670.0679819024,0.0000000000,0.0000000000,39896.1961709617,0.0000000000,24227.3743814698,14162.6977937953,1402.7119421424,9458.0230931148,72371.5301166667
4-2,2025-10-11,10,10248.6483861763,10248.6483861763,0.0000000000,0.0000000000,23564.4974635797,0.0000000000,10510.5692813692,16987.2044753794,9458.0230931148,1523.1388829511,71790.9647500000
4-2,2025-10-12,10,39661.7479959842,39606.5708740974,0.0000000000,55.1771218868,63822.2756088218,11.7435611124,19677.3730611150,17679.1613232348,1523.1388829511,1555.2617545472,117709.3841833333
4-2,2025-10-13,10,41443.4709573803,41443.4709573803,0.0000000000,0.0000000000,66215.5044866320,0.0000000000,21816.8312932985,17107.9678862517,1555.2617545472,4219.1436663613,117677.7538333333
4-2,2025-10-14,10,41184.0189033347,40689.0712383929,0.0000000000,494.9476649418,64547.9762623834,104.1373119588,21330.1862081646,18134.2431566264,4219.1436663613,5339.5643936007,118032.2291833333
4-2,2025-10-15,10,40702.5517358166,39775.2457287061,0.0000000000,927.3060071105,60572.9919900497,202.3524284622,13909.3953475469,16333.5500176120,5339.5643936007,1318.1020018209,117342.4807666667
4-2,2025-10-16,10,48495.4873341301,44865.2880478770,0.0000000000,3630.1992862531,72285.0756666972,580.8500715728,26658.3312030641,17843.0084436049,1318.1020018209,7800.2332375975,117733.2763333333
4-2,2025-10-17,10,12162.0123462056,12162.0123462056,0.0000000000,0.0000000000,27283.1375639403,0.0000000000,9681.6530169206,13956.6370824533,7800.2332375975,2273.4685332972,71943.1725333333
4-2,2025-10-18,10,13279.1095861763,13023.1606725487,0.0000000000,255.9489136276,31094.4270418749,75.7515885722,14812.5733927328,13635.8295258052,2273.4685332972,1952.4831496907,71656.7014500000
4-2,2025-10-19,10,45325.1536248262,43556.6829680266,0.0000000000,1768.4706567997,67886.3303646106,364.6958163342,22177.0206204433,19163.7380876598,1952.4831496907,2791.0985995189,117991.2473833333
4-2,2025-10-20,10,45751.2384315884,44281.1860072334,0.0000000000,1470.0524243550,67827.2152763426,278.7505948847,18875.0880248015,17647.1204049440,2791.0985995189,2095.8811502627,117903.3186500000
4-2,2025-10-21,10,45442.4164538112,45442.4164538112,0.0000000000,0.0000000000,68902.3277009385,0.0000000000,18956.1099879484,17192.1194288282,2095.8811502627,1957.1410249278,117800.8489833333
4-2,2025-10-22,10,47898.9150750836,47715.6655945670,0.0000000000,183.2494805166,74925.6625862165,36.7560499006,24802.0360957707,17738.5082616594,1957.1410249278,6788.3889597788,117671.9865333333
4-2,2025-10-23,10,44897.1301868766,44897.1301868766,0.0000000000,0.0000000000,66784.6404724060,0.0000000000,14475.7721614097,15508.2180079380,6788.3889597788,4174.2151171850,117212.0155166667
4-2,2025-10-24,10,13320.0780941559,13277.5164331741,0.0000000000,42.5616609817,30717.5636466391,11.3066361005,13645.7116815630,14352.6561784769,4174.2151171850,1990.6458804049,72135.5185333333
4-2,2025-10-25,10,15795.6973987000,15722.6740035609,0.0000000000,73.0233951392,38216.3779617719,18.9798273697,22013.5717984373,14600.8962380185,1990.6458804049,7483.8577787107,72042.7870000000
4-2,2025-10-26,10,43693.4028675777,43693.4028675777,0.0000000000,0.0000000000,64942.0094029443,0.0000000000,14512.6549923564,17514.1278046118,7483.8577787107,2790.2594823760,117422.3443500000
4-2,2025-10-27,10,46180.1739685361,45887.0282949126,0.0000000000,293.1456736235,70254.4726054024,64.9709441149,18653.0327565439,16973.8450146386,2790.2594823760,2594.0764841810,117790.5643166667
4-2,2025-10-28,10,46290.8383419268,46290.8383419268,0.0000000000,0.0000000000,68892.2937934805,0.0000000000,17782.7874057957,15848.1245496910,2594.0764841810,2758.9198158245,117514.1448000000
4-2,2025-10-29,10,50340.9902248002,47751.3109979889,0.0000000000,2589.6792268113,70895.7458418163,424.3074728095,18147.1348725243,16456.5268974855,2758.9198158245,2628.1011195655,117721.6145166667
4-2,2025-10-30,10,49197.9601236449,49197.9601236449,0.0000000000,0.0000000000,73292.7608025329,0.0000000000,18593.0459167864,16143.6458841263,2628.1011195655,3250.1163296931,116916.0705666667
4-2,2025-10-31,10,14204.8848805487,14150.3900852795,0.0000000000,54.4947952692,32710.9580327550,19.9067745276,15028.3845084126,14573.6328811391,3250.1163296931,2145.3358136648,71748.9890333333
4-2,2025-11-01,11,15596.6669000875,15509.5540025493,0.0000000000,87.1128975382,37872.0684277739,47.1053355565,20393.0431535299,13906.2598669093,2145.3358136648,6833.3902786342,71974.2094833333
4-2,2025-11-02,11,48026.9263922575,47940.0301300919,0.0000000000,86.8962621656,70438.2585471982,18.2019820204,17619.9261230025,19136.7301942416,6833.3902786342,3377.2351104372,117843.2363166667
4-2,2025-11-03,11,50902.9882824742,50902.9882824743,0.0000000000,0.0000000000,74840.2901827197,0.0000000000,18221.2092384462,16022.7436519781,3377.2351104372,3773.9372168165,117808.9150333334
4-2,2025-11-04,11,50029.1228035901,50001.9899231661,0.0000000000,27.1328804240,73413.6031592928,12.3297895279,16066.3101727395,15740.2168180137,3773.9372168165,2424.1320023898,117396.6107333333
4-2,2025-11-05,11,51407.7194677126,51397.3146026957,0.0000000000,10.4048650169,75305.7337574025,4.5645382833,19942.9730233648,16395.6187320939,2424.1320023898,4061.1978094151,117764.4076166667
4-2,2025-11-06,11,52868.6713355241,51630.1928394810,0.0000000000,1238.4784960431,75024.5613761698,236.0326401391,19665.4223749486,17298.5192270238,4061.1978094151,4483.2152637675,117713.0941333333
4-2,2025-11-07,11,13437.9523563568,13436.8125933619,0.0000000000,1.1397629948,31202.1611768399,0.6994556581,15757.4508874693,16560.5621380832,4483.2152637675,1975.6805108640,72212.3786666667
4-2,2025-11-08,11,14919.8523411247,14919.8523411247,0.0000000000,0.0000000000,34716.2100589800,0.0000000000,16343.0485810755,14455.1578392440,1975.6805108640,2242.9835025421,72034.8668166667
